MAHFAR TRADING,10/30/2025,TRADING,,,FIBERGLASS LOOSE INSULATION 50MM,DENSITY 12KG/M3 (20MTR ROLL),,,6,,,,,1.500, 1.800 ,0.300,1.800,10.800,16.7,
MAHFAR TRADING,10/30/2025,SERVICE,,,TRANSPORT CHARGES,SAMAIL TO BAHRAIN,,,4,,,,,600.000, 600.000 ,0.000,0.000,2400.000,0.0,
,,,,,,,,,,,,,,,,Trading ,2591.394,15548.364,,
,,,,,,,,,,,,,,,,," 5,490.184 "," 32,077.545 ",17.1,
,,,,,,,,,,,,,,,,,, -   ,Vat,
,,,,,,,,,,,,,,,,,," 32,077.545 ",Total,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Wt of AL TOP,2.990,1400,4186.687,,,,,,
,,,,,,,,,,,Wt of AL Bottom,1.469,1400,2056.320,,, PANEL : ," 7,700.000 ",,
,,,,,,,,,,,Wt of PPGI,2.158,370,798.556,,, RIDGE : , 453.600 ,,
,,,,,,,,,,,Wt GI,3.496,350,1223.478,,, PROFILE SHEET : , 370.000 ,,
,,,,,,,,,,,Wt of Insulation,2.215,900,1993.500,,, SKY LIGHT : , 370.000 ,,
,,,,,,,,,,,Trading,,,12956.970,,, FL & ACC.  : ," 21,153.945 ",,1048.155
,,,,,,,,,,,Total Mat,,,23215.511,,, TRANSPORT : ," 2,400.000 ",,
,,,,,,,,,,,Total Labour,,,200.000,,, TOTAL : ," 32,447.545 ",,117552.455
,,,,,,,,,,,Total Over head,,,667.270,,,,,,
,,,,,,,,,,,Transport,,,2400.000, 600 ,OMR Per Trip,,,,
,,,,,,,,,,,LC,,,333.635, 4 ,TRANSPORT,,,,
,,,,,,,,,,,Sales,,,32077.545,,,,,,
,,,,,,,,,,,Value Add,,,5490.184,,,,,,
,,,,,,,,,,,Value Add %,,,17.115,,,,,,
